#{"t_start": 1667082289.125519, "env_id": "CustomMyoChallengeBaodingP2-v1"}
r,l,t
724.397688,200,26348.227099
433.751934,200,26349.419688
180.093507,90,26349.901213
550.008933,167,26350.870724
47.701904,52,26351.149886
784.855365,200,26352.283707
710.13999,200,26353.467297
38.54388,42,26353.712503
330.365194,136,26354.488219
965.25066,200,26355.654325
182.728794,200,26356.912872
35.918589,39,26357.157018
1055.7223,200,26358.417022
870.522966,200,26359.566977
976.105395,200,26360.684856
640.067243,200,26361.74467
508.182227,195,26362.745604
160.621266,171,26363.63341
333.675935,200,26364.768457
1136.29493,200,26365.82763
1090.704022,200,26366.94107
630.10125,200,26368.084595
34.657926,39,27112.931389
734.564174,200,27114.028241
875.197152,200,27115.099326
529.568797,160,27115.998817
527.343713,143,27116.884201
664.846171,200,27118.076749
1166.74275,200,27119.288942
180.196986,200,27120.4047
47.260345,51,27120.667412
1131.121288,200,27121.837785
286.461592,145,27122.74688
168.601778,93,27123.273938
181.150801,159,27124.133766
975.138002,200,27125.285231
950.66643,200,27126.541039
1175.599703,200,27127.696341
41.292066,45,27127.96432
949.567093,200,27129.215587
723.387042,200,27130.548142
940.81487,200,27131.810883
739.884862,200,27133.115335
193.305064,200,27134.52457
46.448288,51,27134.844583
415.661673,141,27135.729478
51.839167,46,27136.027696
31.574085,36,27874.586216
375.459732,142,27875.455479
463.910724,200,27876.625797
573.801935,200,27877.799921
1005.23683,200,27879.238891
905.213265,200,27880.55208
804.754684,200,27881.821727
788.589808,200,27882.992397
33.770343,37,27883.225403
940.723546,200,27884.516188
460.505175,200,27885.684189
775.261734,200,27887.229039
152.017638,160,27888.434226
914.275958,200,27889.717448
319.144009,200,27890.839079
1196.142059,200,27892.193666
35.687325,39,27892.469026
288.777979,124,27893.341331
1130.725057,200,27894.82398
929.07001,200,27896.313507
193.942083,200,27897.64269
1005.293438,200,27898.888132
940.175632,200,27900.163419
853.941131,200,27901.449822
380.75854,133,27902.375565
84.828705,92,28644.273237
980.505848,200,28645.474235
1015.847682,200,28646.622257
865.428096,200,28647.858796
910.54223,200,28649.020074
127.60846,72,28649.478026
87.974306,95,28650.097331
382.619393,190,28651.422974
564.65529,200,28652.868756
188.26595,200,28654.557309
884.826446,200,28655.733422
396.666908,200,28656.891645
573.593682,200,28658.120145
204.790344,196,28659.306815
446.221113,95,28659.877755
622.534001,200,28661.130633
970.294312,200,28662.403341
484.521791,177,28663.533754
507.572591,200,28664.742173
1061.040355,200,28666.144609
305.383411,200,28667.386072
205.574045,79,28667.960143
589.962833,200,28669.427448
524.903706,200,28670.958089
318.183197,200,28672.442249
76.429629,85,29405.957556
49.782776,53,29406.355079
633.071466,179,29407.766104
170.063173,182,29408.88461
619.818744,200,29410.123987
185.036303,200,29411.387415
1105.521727,200,29412.56219
76.60715,77,29413.016129
200.964807,200,29414.252907
470.584829,126,29415.088872
805.205061,200,29416.360938
38.545975,43,29416.634126
184.512871,200,29417.856385
844.581542,200,29419.239067
1181.236276,200,29420.501173
1166.281932,200,29421.80386
724.907673,200,29423.228434
905.539513,200,29424.500078
658.751248,200,29425.736888
185.992641,200,29426.898243
930.562956,200,29428.080456
690.723178,200,29429.317928
205.688693,200,29430.593528
558.64988,200,29432.000431
510.223186,200,29433.452751
97.892506,67,30176.541955
97.982769,88,30177.10958
225.372901,200,30178.280903
1176.508395,200,30179.461296
255.128517,200,30180.603872
892.215701,193,30181.747894
67.601086,74,30182.192778
86.267304,66,30182.74251
187.605121,130,30183.672818
1075.144914,200,30185.161005
263.716538,200,30186.431418
609.968314,200,30187.654796
647.895403,200,30188.82277
838.655195,200,30190.028158
75.422539,81,30190.49243
250.665997,126,30191.233006
344.840202,200,30192.401165
115.8789,91,30192.980755
200.482243,200,30194.220009
153.837374,88,30194.784044
370.377345,168,30195.843427
726.439266,151,30196.81336
1030.888555,200,30198.094872
558.379272,200,30199.277631
855.454082,200,30200.580337
915.087285,200,30943.18462
422.433989,144,30944.031106
190.602848,200,30945.231627
185.378631,200,30946.526019
850.111153,200,30947.754379
719.80527,200,30948.964713
744.289524,200,30950.155467
905.044534,200,30951.474691
320.029667,200,30952.902349
45.506842,51,30953.305325
1181.224925,200,30954.695919
865.624593,200,30955.933753
273.659898,200,30957.198329
31.011889,34,30957.411937
669.965226,200,30958.604785
202.763211,200,30959.754128
39.177184,37,30959.974083
1001.178325,200,30961.111469
183.259095,200,30962.316593
250.412951,200,30963.722402
638.033133,200,30965.223274
301.844685,200,30966.596495
1081.220065,200,30967.886722
925.350945,200,30969.116641
830.578301,200,30970.472613
571.309264,195,31710.603961
734.916582,200,31711.788095
194.688113,200,31713.085202
930.769514,200,31714.649301
915.472882,200,31715.893261
391.626493,160,31716.814867
1155.789687,200,31718.009022
349.39586,167,31718.996963
895.075156,200,31720.346036
260.485784,200,31721.601489
1060.225512,200,31722.79506
307.09921,200,31724.038248
978.98375,200,31725.21211
91.73571,55,31725.565746
273.004468,200,31726.824822
226.443719,200,31728.146437
1165.584959,200,31729.436116
238.915097,200,31730.708562
82.818703,92,31731.231741
130.65216,91,31731.758511
800.556621,200,31733.079818
815.264551,200,31734.337628
1105.782594,200,31735.559451
960.130657,200,31736.713456
579.136896,200,31737.886146
718.99682,200,32484.415531
553.672301,200,32485.846345
190.626621,200,32487.108388
86.067943,94,32487.661244
679.0233,200,32488.87726
899.491397,190,32490.024609
674.80405,200,32491.322074
920.58987,200,32492.458254
428.819924,200,32493.646093
597.243908,200,32494.916962
399.537089,178,32496.169738
1171.503277,200,32497.769986
544.694017,200,32499.206929
78.079035,77,32499.751807
286.064401,200,32501.331627
278.986214,119,32502.185651
667.439126,200,32503.461549
200.58573,149,32504.318973
1065.295454,200,32505.562902
246.195576,111,32506.201179
795.17539,200,32507.438677
890.406415,200,32508.621534
649.944979,150,32509.724819
462.187667,200,32511.088316
64.178666,70,32511.576095
263.876001,200,33255.015403
524.261232,200,33256.341377
199.515469,89,33256.882814
637.788401,200,33258.147218
904.400511,200,33259.400173
271.401365,200,33260.722621
1056.860287,200,33262.039165
925.252414,200,33263.33673
418.058152,123,33264.162824
965.15462,200,33265.601865
732.622994,147,33266.455826
595.120774,200,33267.769522
734.901889,200,33269.098262
193.5532,200,33270.49805
829.026569,200,33271.795338
790.392236,200,33272.963365
529.53672,176,33273.972517
362.203349,200,33275.147904
715.177696,200,33276.498768
319.626076,200,33277.849957
413.265595,128,33278.670696
880.061323,200,33279.950702
194.44759,200,33281.278597
679.526186,200,33282.548053
790.223006,200,33283.726901
484.22488,200,34027.05507
578.094632,200,34028.34012
353.395334,200,34029.566968
192.143879,200,34030.707409
255.024467,200,34032.042789
1076.943353,200,34033.210766
440.507826,172,34034.529591
97.088859,66,34034.944625
46.732574,53,34035.286476
1136.286969,200,34036.531752
195.005114,200,34037.737423
194.32217,200,34039.165347
194.113514,200,34040.460146
709.633398,200,34041.837512
237.600635,200,34043.205042
674.19138,200,34044.387259
569.193371,166,34045.529834
223.500444,200,34046.801493
1150.795198,200,34047.997911
186.548314,200,34049.255367
870.726348,200,34050.571801
885.51473,200,34051.753869
287.874435,97,34052.319352
101.639896,110,34053.002653
55.536315,59,34053.42955
611.848888,158,34796.790745
584.225329,200,34798.004439
729.801369,200,34799.252756
859.920362,200,34800.551139
1011.780546,200,34801.835917
1176.324569,200,34803.203389
1041.223152,200,34804.470145
123.51042,119,34805.230613
579.389117,200,34806.814159
840.109874,200,34808.201591
214.917857,200,34809.596822
395.743969,174,34810.612643
190.015055,200,34811.873272
276.370476,200,34813.116996
259.758937,200,34814.341922
44.583735,51,34814.669858
945.923612,200,34815.990862
46.255842,51,34816.316988
538.383743,200,34817.644931
994.617875,200,34818.892138
202.89653,119,34819.630673
477.617865,200,34820.872095
157.500035,168,34821.858268
333.235997,119,34822.732242
864.699344,200,34824.234699
408.379761,200,35581.046181
672.485817,200,35582.437551
854.092151,200,35583.712553
142.934852,152,35584.633546
346.849918,139,35585.547864
665.30535,200,35586.813611
1087.815089,200,35588.017138
342.282785,102,35588.644749
268.645957,200,35589.896663
86.994515,92,35590.448321
669.564308,200,35591.751106
535.331893,200,35593.140073
323.438885,145,35594.089558
73.948936,78,35594.553574
84.857779,69,35594.972026
201.073691,200,35596.206131
182.957288,93,35596.806536
403.368128,200,35598.038798
278.88471,200,35599.354468
281.896378,112,35600.045293
