#{"t_start": 1667322541.029377, "env_id": "CustomMyoChallengeBaodingP2-v1"}
r,l,t
644.498129,200,1636.872402
739.960646,200,1639.333368
165.291487,200,1641.794615
736.77305,200,1644.31514
242.875152,200,1646.775483
601.149937,200,1649.221124
658.783609,200,1651.588471
754.342352,200,1654.094197
371.596236,162,1656.09578
44.4872.61099699.983554,20971.270034,200,124.810341,14832.380232,200,787.99369,200509.528984,200634.559468,200742.22766,200,892.816106,20245.151479,200,1671.174412
1093.576186,200,1673.611788
643.102903,200,1676.047144
794.05454,200,1678.566779
898.402228,200,1680.960861
713.482675,200,1683.327305
167.156909,200,1685.714108
393.451708,176,1687.937912
1031.809872,200,1690.388591
80.524.640393,200,1691178.796.2698.02482,200,1694.709.708.735.308877,200,1696.451.858.507876,200,1698.5797660.758.446042,200,1701.04102
1151.635568,200,1703.603312
452.645811,200,1706.082187
599.98268,200,1708.528904
255.163229,200,1711.077782
659.753702,200,1713.507797
505.016236,200,1715.946965
715.478792,200,1718.369487
944.952013,200,1720.869495
693.918574,200,1723.323464
392.454668,200,1725.76902
1138.353422,200,1728.312979
479.761839,200,1730.810033
170.317113,200,1733.320896
403.578755,200,1735.806228
1155.932721,200,1738.257185
974.422872,200,1740.731609
462.795935,200,1743.116404
546.812951,200,1745.596684
1115.829758,200,1748.022263
565.813225,200,1750.482497
1026.530774,200,1753.030224
636.546083,200,1755.4887751741.294268,200,1757.934131
591.232176,200,1760.351656
561.920352,200,1762.86729
500.629907,200,1765.301744
471.796099,200,1767.732455
682.292967,200,1770.321568
793.294955,200,1772.724019
1150.967775,200,1775.076319
522.861066,200,1777.913347
672.775301,200,1780.980664
443.984667,200,1783.997135
685.26379,200,1786.907794
812.56137,200,1789.347138
278.001005,200,1791.802226
157.604957,200,1794.303998
166.02468,200,1796.777769
293.902317,132,1798.40951
383.191148,200,1800.90501
267.527136,200,1803.381613
1025.964248,200,1805.861385
767.624626,200,1808.328684
167.253293,200,1810.836659
870.235353,200,1813.291408
644.169337,170,1815.350474
846.473807,200,1817.751713
888.90295,200,1820.283502
727.190813,200,1822.753702
714.726658,200,1825.215783
221.414356,80,1826.217808
337.614454,200,1828.770247
1065.903223,200,1947.922984
838.566679,200,1950.371953
33.464874,33,1950.77947
664.553526,200,1953.325768
913.111862,200,1955.74983
610.426962,200,1958.143818
936.059439,200,1960.585559
419.132555,200,1962.928071
219.081998,200,1965.325805
206.226626,197,1967.735782
1068.03251,200,1977.710884
996.066645,200,1981.249927
475.054089,200,1984.566916
919.912296,200,1987.103106
676.469101,200,1989.530501
1079.288426,200,1991.972329
133.01939,117,1993.529644
661.580393,200,1995.983469
953.443538,200,1998.426786
446.49754,200,2000.885784
864.717277,200,2003.411511
607.655343,200,2005.848923
1057.190756,200,2008.260666
729.426557,200,2010.744411
164.121802,200,2013.10837
522.660802,200,2015.541122
669.841692,200,2017.920917
433.937688,200,2020.345172
919.819212,200,2022.766234
618.723844,200,2025.223688
171.178301,200,2027.718567
163.364419,200,2030.208287
831.833131,200,2032.833408
1030.83138,200,2035.439718
181.348031,200,2037.932767
320.775793,200,2040.404598
1155.52026,200,2042.965909
166.281204,200,2045.457456
713.965247,200,2047.831166
950.976148,200,2050.275002
659.927936,200,2052.764442
384.156909,200,2055.155913
745.551652,200,2057.582844
248.238215,200,2060.113445
1096.306713,200,2062.605265
924.644609,200,2065.063005
357.362444,200,2067.533184
288.109868,200,2070.13066
964.774927,200,2072.589123
879.014819,200,2075.070695
1070.741439,200,2077.628097
165.485657,200,2080.111915
898.585906,200,2082.634328
1043.650111,200,2085.245278
843.922152,200,2087.728671
681.28887,200,2090.177545
782.449966,200,2092.927821
1087.930741,200,2096.021209
708.281465,200,2099.112716
180.192725,91,2100.532973
733.904029,200,2103.087052
562.903646,200,2105.58602
965.956737,200,2108.053496
821.628785,200,2110.551797
75.972672,93,2111.64934
718.790716,200,2113.990567
586.961485,200,2116.388354
525.498588,200,2118.861341
1115.527313,200,2121.315049
1001.77881,200,2123.75191
646.209942,200,2126.275624
193.981895,200,2128.736591
637.716663,200,2131.202446
543.509547,200,2133.664655
561.821156,200,2136.21505
914.925702,200,2138.670385
797.223691,200,2141.061142
788.167385,200,2143.531877
672.982433,200,2145.900874
960.357889,200,2148.785433
598.675122,200,2151.908843
1142.453625,200,2154.955783
741.990011,200,2157.667042
802.205616,200,2160.212943
1081.345126,200,2280.017094
875.54692,200,2282.453867
923.908906,200,2284.909956
235.143737,200,2287.329448
946.744111,200,2289.777946
888.210208,200,2292.246013
1000.300122,200,2294.67311
904.957657,200,2297.04147
158.760639,154,2298.949624
987.850454,200,2301.933801
528.324862,200,2304.992372
161.642816,108,2306.603639
581.829689,200,2309.588462
648.358785,200,2312.009953
665.170048,198,2314.497229
996.245759,200,2316.933218
939.584306,200,2319.49917
506.311109,200,2321.951089
265.278363,200,2324.365542
592.525137,200,2326.814236
274.037935,200,2329.254653
437.902753,200,2331.744925
412.878554,200,2334.244586
758.618657,200,2336.692868
614.779692,200,2339.13262
1190.20781,200,2341.537874
265.289004,175,2343.730263
517.094405,200,2346.151178
900.072181,200,2348.573036
685.445798,200,2351.14883
873.381231,200,2353.550354
270.520102,200,2355.891377
516.361816,200,2358.756168
958.437351,200,2361.839514
386.509715,200,2364.894436
720.576712,200,2367.639513
213.721423,190,2370.059138
1081.786277,200,2372.473724
944.04432,200,2375.076828
677.956287,200,2377.5829
347.806699,200,2380.030146
85.242828,57,2380.748612
1001.621391,200,2383.176582
1084.773161,200,2385.626041
91.846393,112,2386.931981
713.072107,200,2389.351776
97.048223,122,2390.831797
724.354313,200,2393.347698
1085.673231,200,2395.827383
388.783662,200,2398.248283
691.576082,200,2400.752703
641.217815,200,2403.231069
133.167667,76,2404.166494
1052.145933,200,2406.605945
638.723874,200,2409.113007
159.078171,200,2452.004189
1149.534051,200,2454.454599
480.50177,200,2456.852205
758.65268,200,2459.371186
743.632436,200,2462.448772
693.078067,200,2465.508676
185.042654,200,2468.085219
650.673546,200,2470.562083
724.380507,200,2473.109773
679.253609,200,2475.650498
163.136366,200,2478.067099
253.098194,200,2480.490266
826.048591,200,2482.930973
535.500021,200,2485.521205
794.804852,200,2487.97749
1079.794127,200,2490.457518
234.141656,129,2492.078072
1018.793096,200,2494.629375
188.987122,200,2497.107059
1177.35812,200,2499.608406
588.427073,200,2502.15459
442.553051,200,2504.521881
665.476963,200,2506.77344
523.332137,200,2508.966749
888.506079,200,2511.102407
769.276389,200,2513.186321
578.111387,200,2515.287682
104.368437,127,2516.753074
240.026421,200,2518.922149
650.923613,200,2521.237713
372.219571,200,2523.899559
628.414099,200,2642.333615
167.086938,200,2644.804245
530.888631,200,2647.293012
1092.984942,200,2649.854798
183.696847,200,2652.318277
1115.852195,200,2654.811598
758.021648,200,2657.303794
530.820405,200,2659.873124
1059.562863,200,2662.504411
755.887067,200,2665.55149
840.356187,200,2668.712598
898.698154,200,2671.690578
166.105044,200,2674.201659
494.042482,200,2676.687501
173.658714,200,2679.13824
486.723631,200,2681.611795
184.964663,200,2684.151067
841.165106,198,2686.612049
827.172414,200,2689.064742
915.788724,200,2691.565569
716.801909,200,2693.940373
532.863253,200,2696.373703
830.781914,200,2698.830878
696.142471,200,2701.382019
746.701557,200,2703.892022
196.669456,200,2706.349393
730.867483,200,2708.888832
1111.712186,200,2711.370875
758.750907,200,2713.844332
636.687836,200,2716.345357
199.94292,200,2718.910212
163.189339,200,2721.97304
645.686456,200,2725.06737
632.833981,200,2728.147135
573.995171,200,2730.60953
406.311764,200,2733.15646
642.660477,200,2735.597281
415.894682,200,2738.018828
164.29699,200,2740.493967
1010.418597,200,2743.040318
890.499493,200,2745.482129
881.791668,200,2747.956538
716.462903,200,2750.496245
863.752443,200,2752.985429
1055.558478,200,2755.393573
162.99973,200,2757.931288
500.606973,200,2760.388493
1066.206569,200,2762.838416
463.959768,200,2765.299457
865.477755,200,2767.837418
1087.353955,200,2770.321422
57.579773,70,2771.163845
690.81918,200,2773.615858
544.866019,200,2776.2039
951.948145,200,2778.658834
245.761905,165,2780.690046
148.71699,190,2783.093964
159.360936,200,2785.4924
479.466104,200,2787.880155
500.937262,200,2790.245613
875.70812,200,2792.660062
422.904131,200,2795.040836
904.402751,200,2797.51549
339.266334,200,2800.087665
1091.281556,200,2802.543706
934.518251,200,2804.993731
165.593454,200,2807.522968
641.934621,200,2809.988897
942.54131,200,2812.410536
815.108948,200,2814.839978
777.753789,200,2817.355487
905.90933,200,2819.780204
514.001165,200,2822.268536
903.979708,200,2824.795765
531.017843,200,2827.223137
371.016872,200,2829.721635
555.107701,200,2832.233359
1057.263051,200,2834.649624
313.316565,200,2837.16536
896.645616,200,2839.810792
149.12637,78,2841.098189
163.622657,200,2844.210549
391.561989,200,2847.235646
220.657176,200,2849.964311
784.991397,200,2969.010877
598.774312,200,2971.492598
163.660292,200,2974.043353
532.314113,200,2976.513383
409.387696,200,2978.976732
452.451087,200,2981.499552
496.135369,200,2984.044993
543.076909,200,2987.055243
635.116459,200,2990.16308
220.346289,110,2991.88184
1176.654117,200,2994.3811
574.097355,200,2996.845621
742.739706,200,2999.307836
70.237818,88,3000.376677
594.101385,200,3002.797704
880.944533,200,3005.259058
641.278573,200,3007.780574
1179.292952,200,3010.210768
1173.173975,200,3012.645618
700.024348,200,3015.205113
519.205605,200,3017.645435
270.476685,200,3020.10864
588.480496,200,3022.598791
1056.343696,200,3025.177445
372.555195,200,3027.63956
54.523283,62,3028.401571
565.963793,200,3030.873437
546.625014,200,3033.372787
758.910374,200,3035.830297
227.646845,200,3038.274203
895.505451,200,3040.96813
119.564573,145,3043.168911
893.545913,200,3046.237132
672.400442,200,3049.374151
378.884635,200,3051.929638
1152.056819,200,3054.373589
727.451234,200,3056.914948
722.722758,200,3059.301665
956.385069,200,3061.665723
608.469091,200,3064.048892
206.249839,72,3064.997436
365.240673,200,3067.417833
472.244277,185,3069.679259
164.740383,122,3071.188321
494.965079,200,3073.741818
959.264482,200,3076.19364
974.9252,200,3078.622303
177.257166,144,3080.408483
893.762139,200,3082.933534
919.144149,200,3085.384042
537.127207,200,3087.85821
681.913825,200,3090.32498
77.826789,87,3091.333894
166.056374,200,3093.712143
942.984394,200,3096.225608
716.616409,200,3099.092817
216.260668,200,3102.165482
171.758303,200,3105.218666
607.470163,200,3108.046595
47.166153,54,3108.720845
1062.665001,200,3111.147413
608.616477,200,3113.605453
626.182032,200,3116.136569
385.456726,154,3118.060714
948.481762,200,3120.484294
170.768461,200,3123.008598
176.702392,200,3125.469491
355.60978,161,3127.473435
1050.897268,200,3129.884714
540.998699,200,3132.417733
437.704882,200,3134.849523
660.917752,200,3137.298217
1096.021145,200,3139.837769
840.006985,200,3142.310069
253.210745,200,3144.761459
185.840068,200,3147.198085
422.449025,200,3149.723049
960.224211,200,3152.185443
557.072452,200,3154.622333
920.04522,200,3157.71361
852.593607,200,3160.81653
724.034025,200,3163.848551
72.469875,88,3165.10057
433.650502,200,3167.548299
574.964033,200,3170.014221
445.762356,190,3172.301689
955.3672,200,3174.848927
896.160744,200,3294.300171
1071.373419,200,3296.726172
769.221079,200,3299.218177
48.851351,56,3299.879284
641.106238,200,3302.333499
768.930794,200,3304.791225
991.704015,200,3307.236778
212.259744,46,3307.806061
873.065367,200,3310.168877
392.554194,200,3312.621884
237.507685,200,3315.152175
792.183117,200,3317.584049
1080.758382,200,3320.051757
187.800593,200,3322.559576
797.54745,190,3324.853287
960.888984,200,3327.309195
171.195276,200,3329.751317
522.428262,148,3331.621112
471.322787,200,3334.040891
506.277396,200,3336.432878
798.342872,200,3338.769133
960.012136,200,3341.279645
337.163207,94,3342.439154
576.945412,200,3344.876307
782.149047,200,3347.453443
387.196982,200,3349.901049
155.218753,151,3351.748084
167.299348,47,3352.336645
781.055151,200,3354.775995
604.997163,200,3357.266078
1105.22945,200,3359.721925
1005.833357,200,3362.173958
633.528142,200,3364.677743
904.428918,200,3367.065366
535.469552,200,3369.937265
457.884792,200,3373.141426
424.771095,200,3376.08638
553.102043,200,3378.621329
832.546979,200,3381.208244
209.767723,200,3383.762636
789.315631,200,3386.268898
196.856737,171,3388.39225
542.904571,200,3390.989911
942.522054,200,3393.476742
696.85069,200,3395.919175
612.181075,200,3398.527722
82.298362,105,3399.773421
497.636237,200,3402.148772
921.594702,200,3404.620524
385.373041,200,3407.154407
567.782219,200,3409.618175
574.050701,200,3412.059782
779.532701,200,3414.616911
604.68986,200,3417.122159
318.466245,200,3419.632715
621.485828,200,3422.238791
729.83293,200,3424.715277
494.551982,200,3427.180468
650.337858,200,3429.628611
508.149075,200,3432.092745
665.190358,200,3434.616865
1040.930071,200,3437.40162
485.045179,200,3439.999269
378.300127,200,3442.411407
1158.643681,200,3444.883867
1081.17604,200,3447.434406
341.931997,200,3449.85467
739.158642,200,3452.215914
844.659786,200,3454.498549
165.860416,200,3456.782423
812.243846,200,3458.959147
920.075719,200,3461.151677
300.814723,200,3463.507307
439.402659,200,3465.966821
299.061005,200,3468.426557
837.062152,200,3470.927413
460.850582,200,3473.40114
646.750001,200,3475.783437
162.154314,200,3478.196903
501.542313,200,3480.755378
984.978423,200,3483.620017
698.123232,200,3486.68059
622.5444,200,3489.845309
892.919541,200,3492.544495
